ID;latitude;longitude;tags
1474859231;40.3346084;23.9190152;[]
1474859233;40.3347934;23.9186479;[]
1474859234;40.3350451;23.918336;[]
1474859235;40.3361046;23.917196;[]
1483930716;40.3342357;23.9214922;[]
1575966727;40.3352837;23.9206003;[]
1782407922;40.3354352;23.9176176;[]
1782407924;40.335706;23.9173968;[]
1782407927;40.3358632;23.9172886;[]
1782407929;40.3352745;23.9177645;[]
1782407933;40.3347228;23.9188076;[]
1782407934;40.3349971;23.9181679;[]
1782407935;40.335062;23.9180103;[]
1782407936;40.3351382;23.9179018;[]
1782407953;40.338494;23.9181564;[]
1782407955;40.3385695;23.9179176;[]
1782407957;40.3381911;23.9173692;[]
1782407959;40.3382488;23.917295;[]
1782407961;40.3383864;23.917312;[]
1782407963;40.3383165;23.9172778;[]
1782407965;40.3385464;23.9174005;[]
1782407966;40.3384656;23.9173462;[]
1782407967;40.3386365;23.9174984;[]
1782407968;40.3386717;23.9176364;[]
1782407969;40.3386629;23.9175667;[]
1782407970;40.3386737;23.9177065;[]
1782407971;40.3386442;23.9177143;[]
1782407972;40.3377904;23.9170086;[]
1782407980;40.33811;23.9172576;[]
1782407982;40.3381158;23.9172149;[]
1782407984;40.3381006;23.9171635;[]
1782407986;40.3380843;23.9170981;[]
1782407988;40.3380597;23.9170876;[]
1782407990;40.3380574;23.917146;[]
1782407992;40.338029;23.9171393;[]
1782407994;40.3380376;23.9170865;[]
1782407996;40.3379406;23.9170246;[]
1782407998;40.3380002;23.9170491;[]
1782407999;40.3376147;23.9170007;[]
1782408001;40.3375572;23.9170696;[]
1782408003;40.3375959;23.9170384;[]
1782408005;40.3375136;23.9171145;[]
1782408007;40.3374841;23.9171899;[]
1782408008;40.3374192;23.9172065;[]
1782417726;40.3414854;23.9147014;[]
1782417727;40.3417389;23.9149866;[]
1782417728;40.3418628;23.9151134;[]
1782417729;40.3411224;23.9147071;[]
1782417730;40.3413125;23.9146927;[]
1782417731;40.3410792;23.9146466;[]
1782417732;40.3408544;23.9136152;[]
1782417733;40.3408544;23.914128;[]
1782417734;40.3409812;23.9143067;[]
1782417735;40.3407939;23.914033;[]
1782417736;40.3407593;23.9137823;[]
